02 4 0	Book 2, Growing Up, Chapter 4 – The Ernst Institute
02 10 11	“Father, here’s the acceptance letter from the Ernst Institute.” Linley directly handed the admissions envelope to his father. Hogg was stunned for a moment, then quickly accepted the red envelope and removed the letter from within it. He carefully scanned the letter.

02 10 12	Several names in bright red particularly stood out – “Ernst Institute” “Linley”.

02 10 42	“Young master Linley, congratulations on being admitted to the Ernst Institute. In the future, young master Linley will no doubt become a mighty, powerful magus.” A clan guard laughed as he toasted Linley politely.

02 10 44	Upon hearing that Linley had been admitted to the Ernst Institute, everyone present had become excited. One could easily understand that entering the Ernst Institute meant entering a certain destiny. In the future, Linley definitely would not be constrained by tiny little Wushan township.

02 12 8	Doehring Cowart, wearing a moon-white robe, was seated cross-legged next to him, a smile on his face as he enjoyed the surrounding scenery. Seeing Linley awaken, he laughed. “Linley, tomorrow you are heading to the Ernst Institute, yet you are still hard at work today?”

02 12 30	The next morning, all of the commoners of Wushan township gathered on the main road in town, all for the purpose of sending off Linley. It was definitely an incredibly glorious thing for Wushan township to be able to produce a magus who would attend the Ernst Institute.

02 12 31	Each year, the Ernst Institute only accepted a hundred students from across the entire Yulan continent.

02 12 33	“Linley, today you are going to go to the Ernst Institute and formally become an Ernst Institute student. When you graduate from the Ernst Institute, you will be a powerful magus! Before you depart, as your father, I want to say to you…” On this last day, Hogg had a belly full of things he wanted to speak to Linley.

02 12 50	Linley unwillingly took one last glance at his family, and then finally forced himself to turn away and begin traveling in the direction of the Ernst Institute.

02 13 2	The Ernst Institutewas located in a rustic area approximately twenty kilometers south of the Holy Capital of Fenlai City. The Ernst Institute was founded and financially supported by the Radiant Church. Naturally, it was wealthy and knew how to throw around money. They took up a very large space, with a circumference of ten kilometers. Such a huge academy was nearly the size of a city.

02 13 3	Outside of the Ernst Institute, few visible signs of human presence could be seen, just an empty mountain range.

02 13 4	Restaurants, clothing stores, bars, and other sorts of service industries were all located on the campus itself. It could be said that the students of the Ernst Institute spent their entire lives within the campus.

02 13 5	“What an imposing style.” Linley stood at the gateway to the Ernst Institute. He couldn’t help but sigh with emotion.

02 13 6	The main gate of the Ernst Institute was fully fifty meters wide. Above the great gate was an enormous, crescent moon shaped construct, covered with all sorts of magical scripts which one could tell at a glance were amazingly complicated. Just from seeing how complicated the scripts were, one could imagine how powerful and mighty the magical formation protecting the Ernst Institute was.

02 13 7	Right now, the main gate of the Ernst Institute was a very lively place. There was an row of academic staff, and a single youth who had brought his admission letter and his proof of identity and had begun to be processed for intake. Linley immediately grabbed his own documents and headed in for processing as well.

02 13 12	The O’Brien Empire, one of the Four Great Empires, was located to the east of the Mountain Range of Magical Beasts, while the Ernst Institute was located west of it. In order to reach the Ernst Institute, one had to circle around the entire Mountain Range of Magical Beasts from the north or the south. After all, aside from combatants of the ninth rank or Saint-level combatants, no one dared to directly cross that mountain range.

02 13 22	One of the intake processes for new students was to retake the magus test. After all, the Ernst Institute was afraid that someone might steal an admissions letter and falsely enroll.

02 13 28	“Linley, what is it? Amazed just by this?” Reynolds said dismissively. “This is the Ernst Institute. Each year, they accept only a hundred students from across the entire Yulan continent. Which one of them is not an amazing talent? My results can only be considered average, across the student base.”

02 13 29	“But the Ernst Institute does show some favoritism to the Holy Union. They accept fifty students from the Holy Union, and only fifty more total from the other Four Great Empires. It is so unfair.” Reynolds sighed.

02 13 31	The Ernst Institute was founded by the Radiant Church. Of course it would show favoritism towards the Holy Union.

02 13 39	Linley and Reynolds accepted their Ernst Institute student ID’s, then acquired their residence keys. At the Ernst Institute, all students, regardless of wealth and economic background, had to live together. Tuition fees and residence fees were totally waived.

02 13 42	Hillman, besides Linley, laughed. “Linley, the tuition waiver and rent waiver provided by the Ernst Institute is only for members of the Holy Union. All others have to pay an extremely high fee.”

02 13 44	The old man next to him smiled at Linley. “That’s right. This isn’t just the rule for the Ernst Institute; the number one warrior academy in the Yulan continent, the O’Brien Academy, does the same. They provide a full tuition waiver for their own Empire’s students, but charge an astronomical fee for students coming from other places.”

02 13 47	Reynolds said unhappily, “Okay, Grandpa Lomu [Lu’mu], you can go back now. I’ve already arrived at the Ernst Institute.”

02 13 53	After saying his farewells to Uncle Hillman, Linley and Reynolds entered the Ernst Institute together. The Ernst Institute was filled with shady groves, lakes, stone bridges, ancient buildings…an ancient aura permeated the entire place. Just from the size of the giant trees, which seven people would have to surround in order to hold hands, one could imagine how old the place was.

02 13 55	Within the Ernst Institute, as a one-time event, there were many instructional signs telling students where each location was. Clearly, this was intended to help assist the new students.

02 14 3	He didn’t even feel too tired after running from Wushan township to the Ernst Institute.

02 14 12	Yale wrinkled his nose as he chortled. “Although I am a dignified magus, I still need to work out and have a good physique. Otherwise, how will I be able to seduce beautiful women? There’s many beautiful women amongst the ranks of the magi. And the female magi of the Ernst Institute are not only pretty; they are also very classy. Plus, there’s a lot of face to be gained by being able to brag to others that I have an Ernst Institute student as my girlfriend.”

02 14 35	Yale said casually and naturally, “Linley, you can only graduate from the Ernst Institute if you reach the rank of a magus of the sixth rank. For a magus, the higher you progress, the harder it becomes. For most people, it takes a couple decades to become a magus of the sixth rank.”

02 14 47	But despite this, the Yulan Empire was still the most economically powerful of the empires, and it was also filled with magi. The magus academy of the Yulan Empire was second only to the Ernst Institute.

02 14 49	George smiled. “Although the magus academies of the Yulan Empire are very good, they are still a bit weaker than the Ernst Institute. If you’re going to go to school, you should go to the best. Although the journey was a bit long, it could be considered a form of training as well.”

02 14 54	Yale pursed his lips. “That’s very normal. Which student in the Ernst Institute is weak? Myself, my elemental affinity and spiritual essence are both high level, putting me towards the bottom of the pack of our one hundred. If it wasn’t for the fact that my old man has a special relationship with the Radiant Church, I probably wouldn’t even be able to make it in.”

02 14 57	“The person in our dorm with the highest natural talent is Linley. But have you guys heard of the unmatchable talent who is studying at the Ernst Institute?” Yale glanced at the other three.

02 14 59	But George smiled as he nodded. “I’ve heard of him. The number one genius of the Ernst Institute, ‘Dixie’ [Di’ke’xi], a talent that appears once in a century. He is a dual-element magus, and has exceptional levels of elemental affinity and spiritual essence. But his spiritual essence is especially amazing; 62 times that of others his age. Usually, reaching 30 times is considered ‘exceptional’ level, so his precise level should be ‘super exceptional’, but since the highest level is ‘exceptional’, that’s what he is classified as.”

02 14 63	The Ernst Institute really did have as many talents as there were clouds in the sky. It could also be said to have congregated all of the magical geniuses of the Yulan continent. Here, Linley could only be considered above average. However…behind Linley, there was a five-thousand year old Saint-level Grand Magus!
02 15 32	The ancient Ernst Institute was filled with countless buildings which were thousands of years old. In front of some of them, there were even introductory placards.

02 15 35	Many famous graduates of the Ernst Institute were bashed by Doehring Cowart as not worth mentioning.

02 15 41	“It’s so easy here. Just one class a day. Oh, Linley is dual-element, so he has two.” Yale sighed. “But the Ernst Institute is really relaxed. If you want to attend class, you can. If you don’t want to, you can skip.”

02 15 42	George calmly smiled. “Yale, don’t grow complacent. Although there aren’t formal requirements for students, every year, there will be an ability test. Only if you advance a rank in power can you advance a grade. If you don’t work hard, do you plan to stay here for a century? What’s more, the Ernst Institute has a rule that if one does not become a magus of the sixth rank in sixty years, one will be expelled, no exceptions.”

02 15 45	“Expelled?” Yale stared. “If I really were to be expelled, my old man would probably kill me.” Expulsion by the Ernst Institute would result in an unbearably humiliating reputation. No one would be willing to shoulder it. After all, to have been accepted meant they were all talented people.

02 15 48	“Of course. On the long road from the O’Brien Empire to the Ernst Institute, Grandpa Lomu had already begun to teach me magic.” Reynolds said proudly.

02 15 50	“The earth element class isn’t that important. In terms of understanding the earth element, how could any of the teachers at the Ernst Institute compare with Grandpa Doehring? The most important class is the wind element class. I wonder what wind magic is like?”

02 16 1	For the academic calendar of the Ernst Institute, every month, the first twenty eight days had classes. Only the last two days were free.

02 16 15	The Holy Union and the Dark Alliance were located west of the Yulan continent’s Mountain Range of Magical Beasts. East of the range were the Four Great Empires, but even further east of the empires was a vast grassland, which contained three kingdoms of its own. The distance between the great grasslands and the Ernst Institute was unbelievably great. A one way trip alone would take at least three years!

02 16 25	Linley had it all planned out. Every day, he would spend some time outside training in magic. As for the place he would do the training…Linley had already chosen a place, a mountain located right behind the Ernst Institute. Being located near a mountain range, naturally there were many mountains near the Institute.

02 16 39	“A Saint-level magus can fly, yes, but the Ernst Institute can perhaps produce just one, at most, in a century! But we magi of the wind-style can, upon attaining the fifth rank, immediately execute the ‘Floating Technique’.” Trey said confidently, “And wind-style magi are extremely fast. When they execute the ‘Supersonic’ technique, they can dramatically increase their speed.”

02 17 1	Spring left and autumn came. In the blink of an eye, Linley had spent half a year at the Ernst Institute.

02 17 7	George loved to participate in student unions and fellowships, and he was excellent in ferreting out news and making new friends. Although he had only been in school for half a year, amongst the first grade students of the Ernst Institute, George had become a mover and a shaker.

02 17 16	Linley immediately walked off, quietly but quickly heading towards the mountains behind the school. There were thousands of students at the Ernst Institute, and there were also many magi who were researching new spells here. There were also many servers. In short, the Ernst Institute was a well-populated place.

02 17 26	At the Ernst Institute, there were indeed quite a few people who had magical beasts. Aside from the magi who had been invited to come to the Institute, some fifth and sixth grade students were able to buy soulbinding formation scrolls and had managed to tame some magical beasts to serve as their mounts.

02 17 29	The mountain behind the Ernst Institute was an extremely wide ranging one. Long, long ago, magical beasts used to live in this mountain, but as time went on, all of the magical beasts were exterminated by the magi of the Institute. By now, there were only a few normal beasts still living here.

02 18 7	Her brother, Dixie, was the number one genius of the entire Ernst Institute, and described as a talent which would be found once in a century at most. He, too, was a dual element mage, and his elemental essence affinity was exceptional. But what’s more, he was a supreme talent with 68 times the spiritual essence of an ordinary person.

02 18 13	“The older students all know that our Ernst Institute has a tradition. At the last two months of every year, a yearly tournament will be held. The yearly tournament is always the most noisy, energetic time at the Ernst Institute. The students who achieve victory in the yearly tournament will likely have a higher chance of being rated ‘superior’ upon their graduation. When they graduate, most likely they will be invited by the Four Great Empires.” Instructor Trey laughed.

02 18 15	At the Ernst Institute, talents were as common as the clouds. And the number one problem that all talents shared was that they didn’t like to admit inferiority to others!

02 18 49	Clearly, from inside their dorm, Yale had heard Linley’s voice. Yale, Reynolds, and George all walked out and waved to Linley. The four bros proceeded towards the dining areas. The Ernst Institute contained some luxurious restaurants, but after being persuaded by Linley, Reynolds, and George, Yale no longer took them to those places.

02 18 52	Linley got most of his news regarding the Institute’s going-ons from his three bros, as Linley, who spent all his time training in the mountain, probably would be totally in the dark otherwise.

02 18 53	“Man, in about a month, the school year is coming to an end. The last two months of each year, the entire Institute will engage in the yearly tournament. The top three students in each grade are all allowed to live in those two-story dorms for a year.” Yale said.

02 18 56	Yale pursed his lips. “Punk, you became a magus of the first rank on the road from the O’Brien Empire to the Ernst Institute. I wager that by now, you aren’t too off from becoming the magus of the second rank. That really is unfair.”

02 18 74	Linley really didn’t care about the yearly tournament in the slightest. But the vast majority of the students at the Ernst Institute were extremely excited about it. And not just the students. Even some of the full magi residing at the Ernst Institute would pay close attention to the tournament results.
02 19 1	The mountain behind the Ernst Institute, a place of tranquility.

02 19 7	But while it was peaceful here, the Ernst Institute was extremely rowdy. All of the thousands of students, as well as many of the magi, and even many important people from the outside world were all at the Ernst Institute, watching the various battles.

02 19 9	All of the students of the Ernst Institute were prideful heaven-blessed talents!

02 19 14	The yearly tournament went on for a bit over a month, which naturally was the wildest, most rowdy month each year at the Ernst Institute. During this frenetic period, Linley would only occasionally watch the battles of the fifth and sixth grade students. All of the rest of his time, he would quietly train by himself.

02 19 19	The Huadeli Hotel, the most expensive hotel and restaurant within the Ernst Institute. Tonight, Yale was hosting the four bros of dorm 1987 to a lavish meal at the Huadeli Hotel.

02 19 32	This was why the large majority of students at the Ernst Institute were high-level magi. The higher one’s grade was, the fiercer the competition was.

02 19 49	Immediately, many gazes from all over the hotel focused on this altercation. Many of the high-level students of the Ernst Institute stood up and stared at the two parties with curiosity. Clearly, both parties were just ten year olds.

02 19 53	Seeing others notice him, and hearing them praise him as the winner of the first grade tournament, Rand’s face became even more arrogant, and he looked at Linley and the others even more contemputously.

02 19 63	At this moment, Linley felt the Dragonblood in his veins begin to blaze, as his bloodthirsty nature began to awaken. Linley couldn’t help but frown as he tried to calm down. “This is the Ernst Institute. I can’t kill someone for no reason.”

02 20 10	“Right, if you have the skills, compete using magic! Are you even a student of the Ernst Institute?” Rand’s nearby friends immediately called out in support.

02 20 19	Even at the Ernst Institute, he was amongst the top tier. When had he ever suffered such humiliation?

02 20 20	“Number one?” Rand ground out. “Number one isn’t something that is simply proclaimed. It comes through competition. If you have the ability, then come duel with me.” Rand was very confident in his magical ability. After all, he had won the yearly tournament for first graders.”

02 20 24	Even aside from the fact that these were students from the Ernst Institute, based on the status of these students, he didn’t want to anger them. Especially…Yale.

02 20 26	And upon entering the Ernst Institute, Yale’s status amongst his family had only increased even more.

02 20 83	Many people were now staring at him and discussing him. Most of the talented people at the Ernst Institute had become well-known already. Nobody expected such an individual to appear out of nowhere amongst the first graders and easily defeat Rand, the tournament champion.

02 21 3	“A hundred gold coins, gone like that.” Walking out from the local branch of the Golden Bank of the Four Empires within the Ernst Institute, Linley couldn’t help but sigh to himself. Now, next to his chest, was a magicrystal card of his own.

02 21 4	Linley knew that while he continued to live at the Ernst Institute, if he put a huge pile of gold coins in his dorm, it wouldn’t be safe. The safest option was to put them all in a magicrystal card.

02 21 7	“With these ten thousand gold coins, my living expenses at the Ernst Institute will be more than sufficiently covered, with lots left over. I can help father as well.” Linley felt very happy.

02 21 20	At dawn the next day, Yale and the others all had breakfast together, and then directly went to the Ernst Institute’s main gate and began waiting for Yale’s escorted carriage.

02 21 38	In the cabinets within the carriage, there were actually fruits, honey, and wine. The four bros began to eat and drink and chat within the carriage. The Ernst Institute was only twenty kilometers away from Fenlai City, so after about half an hour or so, they arrived.

02 22 9	When Linley and his bros, along with Cass and the three guardsmen, arrived at the Proulx Gallery, anyone who was a decent judge of character could recognize the Ernst Institute clothing that they wore. Upon seeing the Blue-eyed Thunderhawk on Cass’ shoulders, they naturally would become very courteous and polite.

02 22 44	Night. The Ernst Institute’s main gate. Linley and other three dismounted the carriage.

02 22 50	“Looks like some of the trainees who went to the Mountain Range of Magical Beasts were wounded. What group is this? We haven’t even been at the Ernst Institute for a year, but we’ve seen so many high level students who were injured outside.” Yale said casually.

02 22 52	As a matter of fact, it was quite close to the Ernst Institute, perhaps just a hundred kilometers away. Generally speaking, those in good shape would be able to jog from the mountain range to the Ernst Institute in about half a day.

02 22 53	“Here at the Ernst Institute, I’ve seen so many magical beasts. Wow, man, there are flying beasts, running beasts, and all sorts of beasts. But most of the people who have magical beast companions at the Ernst Institute are magus instructors, and a few high level students.” George sighed in admiration.

02 23 1	Hillman was standing in a corner near the gate. Smiling, he walked over. “The Ernst Institute has extremely strict management. They actually denied me entrance and just had a guard go looking for you. I didn’t expect you would actually be outside.”

02 23 3	Yale, George, and Reynolds all smiled at Hillman, then entered the Ernst Institute.

02 23 24	“Wait.” Linley frowned as he looked at Hillman. “Uncle Hillman, that O’Brien Academy’s tuition must be extremely high. Although they will allow their own students to study free of charge, no doubt they are extremely merciless in charging out-of-empire students.” Linley clearly remembered how much Reynolds had paid to be admitted to the Ernst Institute.

02 23 30	Linley tugged Hillman and said, “I won this magicrystal card from a rich kid who lost a magic duel with me. Let’s go to the Golden Bank of the Four Empires.” Right now, the guards at the Ernst Institute’s entrance no longer attempted to bar Hillman’s passage, because they recognized Linley, who had left earlier this morning.

02 23 44	Hillman said solemnly, “In total, nine thousand, nine hundred gold coins. Linley asked me to bring this to you. At the Ernst Institute, a rich young fellow engaged in a magical duel with Linley, and in losing, also lost ten thousand gold coins. Linley stored them into a magicrystal card, and now, has withdrawn the entire balance.”

02 24 1	Many days later, at the Ernst Institute.

02 24 3	While walking on the road out of the Institute, the little Shadowmouse was on Linley’s shoulders, scanning about in all directions. There were quite a few people at the Ernst Institute who had magical beast companions, and thus no one cared at all that Linley had a little Shadowmouse as a companion. But just at that moment…

02 24 18	A white line shone out of the Coiling Dragon Ring, and Doehring Cowart appeared besides Linley, smiling. “Linley, there actually isn’t a huge difference between you two. When Dixie enrolled, his spiritual essence was 68 times that of his peers. This means that even before training, his spiritual essence had reached the level of a magus of the third rank. That’s why in his first year, all he had to do was accumulate sufficient mageforce for him to become a magus of the third rank. By now, he’s been at the Ernst Institute for almost two more years, so it is very normal for him to become a magus of the fourth rank.”

02 24 24	“Grandpa Doehring, the more natural talent one has, the faster one will progress. He has much more talent than I do, and holds two more ranks than I do. How could I possibly catch up to him in ten short years?” Linley was no fool. His studies at the Ernst Institute had made him aware of how difficult it was for a magus to advance a rank.

02 24 26	As he said these words, Linley had already left the gates of the Ernst Institute and entered the back mountains. As he passed through the mountain forests, Doehring Cowart suddenly said, “Linley, go to a place next to the mountainside.”

02 25 3	Linley sat there alone in the mountains behind the Ernst Institute. Under the tutelage of Doehring Cowart, he began to study the art of stonesculpting. As he began to understand more and more about this art, Linley also began to understand why in the later stages, the Straight Chisel School could assist in improving one’s spiritual essence.

02 25 17	Linley continued to be a solitary figure at the Ernst Institute. The vast majority of his time each day was spend in arduous training at the back mountains.

02 25 21	At a waterfall in the mountains behind the Ernst Institute.

02 25 43	Year 9997 of the Yulan calendar was the seventh year Linley had spent at the Ernst Institute. This year, Linley was fifteen years old.

02 25 44	Wearing a sky-blue robe, Linley was walking on a road within the Ernst Institute. On Linley’s shoulders, the little Shadowmouse ‘Bebe’ continued to stand. Although six or seven years had passed, Bebe’s body hadn’t changed in the slightest.

02 25 48	At the start of year 9997 of the Yulan calendar, Linley entered the fifth grade class at the Ernst Institute, the same grade as the Ernst Institute’s number one genius, Dixie. It had taken Dixie three years to advance from the fourth rank to the fifth rank, but up until now, he still had not been able to advance from the fifth rank to the sixth.

02 25 52	Now, Linley was ranked along with Dixie as being the publicly acknowledged ‘Two Ultimate Geniuses’ of the Ernst Institute.

02 25 55	“Very possible. Given Linley’s astonishing rate of improvement, very possibly he will supplant Dixie and become the number one genius of the Ernst Institute.”

02 25 57	On the street, there were many people who, upon seeing Linley, began to discuss him amongst themselves. As the acknowledged genius of the Ernst Institute, no matter where he went, people would discuss him. But although Linley’s strength continued to increase, he still refused to participate in the yearly tournaments.

02 25 62	Totally ignoring the worshipful gazes aimed at him by bystanders, Linley calmly left the Ernst Institute by the back gate and entered the mountains, once more beginning his solitary training. Those six years which went by like one day were the reason for his success.

