02 6 0	Book 2, Growing Up, Chapter 6 – ‘Bebe’ the Shadowmouse (part 2)
02 25 29	Linley let out a soft breath and brushed away some small pieces of excess stone still remaining. The entire statue had taken shape. A half-meter long lively-looking mouse stood in front of Linley. At a glance, one might mistake it for a real mouse. This caused the little Shadowmouse, Bebe, to begin squeaking wildly.

02 25 44	Wearing a sky-blue robe, Linley was walking on a road within the Ernst Institute. On Linley’s shoulders, the little Shadowmouse ‘Bebe’ continued to stand. Although six or seven years had passed, Bebe’s body hadn’t changed in the slightest.

02 25 60	“But right now, my strength is actually less than that of Bebe’s.” Linley glanced at Bebe on his shoulders. “Bebe, what rank of power have you reached?”

02 25 61	“Squeak squeak.” Bebe smirked at Linley, then said to him mentally, “I don’t know either, since I’ve never competed against any other magical beasts. But you definitely aren’t a match for me, hehe.” Bebe was extremely self-satisfied.

02 25 63	Linley quickly and casually floated through the forests, while the little Shadowmouse ‘Bebe’ continued to chat with him nonstop through their mental link. “Boss, when are we gonna go to the Mountain Range of Magical Beasts to test our strength? You are already a magus of the fifth rank. You can begin to test yourself. And I, Bebe, will finally be able to show my awesome abilities.”

02 25 65	“You are breaking my heart, man. I’m a magical beast, but I haven’t gone to the Mountain Range of Magical Beasts a single time. What a tragedy!” After six years, Bebe’s abilities at self-expression had improved dramatically.

02 25 66	“Quiet. If you keep on making a fuss, then today I won’t help you cook meat.” As soon as Linley spoke these words, Bebe immediately shut his mouth and didn’t make a sound.

